"RowName","Distance"
"Huizen                                  ",9711.41954247678
"Noordwijk                               ",2132.48705506036
"Lingewaard                              ",2509.14593039145
"Goes                                    ",2605.28216322148
"Heeze-Leende                            ",2770.82337582171
"Druten                                  ",2806.19921245802
"De Fryske Marren                        ",3280.88530278033
"Albrandswaard                           ",3523.77725459485
"Wijdemeren                              ",3525.12274254387
"Baarn                                   ",3575.69005647861
"Staphorst                               ",3576.55283897778
"Veenendaal                              ",3694.7840775883
"Stede Broec                             ",6117.29219998522
"Tilburg                                 ",7663.99349229891
"Dijk en Waard                           ",8715.61806701051
"Voorschoten                             ",9307.68486735558
"Zuidplas                                ",9359.95473439909
"Olst-Wijhe                              ",9381.7946332245
"Bunschoten                              ",9661.77946653721
"Teylingen                               ",9722.83397317881
"Woerden                                 ",10661.5623798766
"Oirschot                                ",2718.66199627685
"Voorst                                  ",3206.53333367985
"Meierijstad                             ",3736.42931955095
"Valkenburg aan de Geul                  ",3868.21716815383
"Bernheze                                ",4384.51286803905
"Leudal                                  ",4446.15903674171
"Haarlemmermeer                          ",4478.67090105982
"Berg en Dal                             ",4552.68855403046
"Bodegraven-Reeuwijk                     ",5176.26458558679
"Reimerswaal                             ",5179.15196340096
"Nijkerk                                 ",30050.2619965284
"Arnhem                                  ",33355.5595076743
"Haaksbergen                             ",37426.8832672452
"Enkhuizen                               ",39148.429560073
"Hengelo                                 ",45210.4579723541
"Amersfoort                              ",46650.7633062954
"Woudenberg                              ",48987.6045348208
"Apeldoorn                               ",50182.7899991621
"Haarlem                                 ",51055.7370755726
"Almere                                  ",56983.1670244819
"Someren                                 ",1250.53280644692
"Waadhoeke                               ",1399.81569858321
"'s-Hertogenbosch                        ",2083.11215732615
"Medemblik                               ",2123.04398211624
"De Wolden                               ",2928.17429296823
"Dronten                                 ",2935.74273736647
"Vaals                                   ",3011.89861881173
"Harderwijk                              ",3061.13072246188
"Gemert-Bakel                            ",3102.28307702569
"Zaltbommel                              ",3187.26923086206
"Castricum                               ",3111.76349197686
"Midden-Delfland                         ",9296.76414565842
"Hoeksche Waard                          ",10359.2601188502
"Lisse                                   ",10523.1102940148
"Oisterwijk                              ",10588.6264123351
"Berkelland                              ",12527.777462104
"Opmeer                                  ",13329.1635997912
"Noord-Beveland                          ",14089.9672497845
"Steenbergen                             ",14452.4150587367
"Westervoort                             ",15272.880743658
"Rijswijk                                ",1277.91559189173
"Coevorden                               ",1556.8856862339
"Winterswijk                             ",2250.33313311607
"Bladel                                  ",2333.27647740254
"Eemsdelta                               ",2417.58733864984
"West Betuwe                             ",2634.43816021557
"Soest                                   ",2815.86915889215
"Heemstede                               ",3401.56568362276
"Dalfsen                                 ",3672.03309761772
"Lopik                                   ",4029.75210776048
"Leiden                                  ",3334.48003292867
"Doetinchem                              ",4507.10632002397
"Heemskerk                               ",4657.19068645466
"Voerendaal                              ",4898.02788681322
"Koggenland                              ",5230.46015088539
"Steenwijkerland                         ",5280.75743525491
"Cranendonck                             ",5293.61597964945
"Sittard-Geleen                          ",5511.79572371836
"Heeze-Leende                            ",5915.40836037547
"Albrandswaard                           ",5966.0380664223
"De Wolden                               ",2050.05623825299
"'s-Hertogenbosch                        ",2629.70544167973
"Vaals                                   ",2829.14401542233
"Montferland                             ",2908.19361459996
"Oude IJsselstreek                       ",3127.18388490348
"Wormerland                              ",3175.28032305811
"Beek                                    ",3176.64369736362
"Gemert-Bakel                            ",3285.80956843211
"Someren                                 ",3659.53034828241
"Brielle                                 ",3768.57122395212
