"","AantalInwoners_5","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","InBezitWoningcorporatie_42","InBezitOverigeVerhuurders_43","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","BedrijfsvestigingenTotaal_91","ALandbouwBosbouwEnVisserij_92","BFNijverheidEnEnergie_93","GIHandelEnHoreca_94","HJVervoerInformatieEnCommunicatie_95","KLFinancieleDienstenOnroerendGoed_96","MNZakelijkeDienstverlening_97","OQOverheidOnderwijsEnZorg_98","RUCultuurRecreatieOverigeDiensten_99","AfstandTotHuisartsenpraktijk_106","AfstandTotGroteSupermarkt_107","AfstandTotKinderdagverblijf_108","OppervlakteTotaal_111","OppervlakteLand_112","OppervlakteWater_113","MateVanStedelijkheid_116","Omgevingsadressendichtheid_117","Cluster"
"PercentageOnbewoond_39",0.00591406240208007,0.00523456397517255,0.00658163244679435,-0.00913632499836642,0.00821694446214811,0.0240037046424594,-0.00527161362136774,-0.00336027920355685,0.0221347640630277,-0.0340569900406728,0.0237943852316471,0.0236851526019007,0.052253652354708,0.00179025919682796,-0.0141928493542144,-0.372501334338721,-0.0785358646458297,-0.102856551440834,0.102856551440834,-1,1,-0.153032157032464,0.121011403128251,-0.113167548152524,0.376982764818611,0.210279093079701,-0.2102790930797,0.0371373223093231,0.0366067221265748,0.00921701376185359,0.033668120244034,0.045743357615281,0.0276043311656432,0.0430149794736773,0.0280959010783179,0.049675712730477,0.16155164904429,0.0386991463427204,0.166988211310131,0.212788058024538,0.0932841226639964,0.276860325638902,0.169611146623074,-0.0852953979520724,0.0155483753245762
"Koopwoningen_40",-0.563854594093707,-0.562203440341343,-0.565375384331428,-0.545041019632734,-0.58226536413457,-0.545692128179486,-0.555450476011824,-0.584061708029743,-0.555591803021735,-0.55081441249423,-0.580777365236292,-0.57392503102194,-0.577701979570981,-0.569683637862276,-0.548255326442034,0.701228178172298,-0.612101387337934,0.836817696108375,-0.836817696108375,0.153032157032464,-0.153032157032464,1,-0.998229640421458,-0.810851168396693,-0.582657519179241,-0.168348991046621,0.168348991046621,-0.49452850098218,0.111269343340166,-0.455440642823099,-0.515396610823138,-0.463043173323792,-0.451885300731046,-0.486023548964148,-0.543597500065291,-0.470537722224669,0.427125050683243,0.485210924451928,0.499221183233781,0.0641931466524989,0.143055830055244,-0.0622414211944885,0.678091834852316,-0.760810775961665,0.190465962768296
"HuurwoningenTotaal_41",0.56355745334525,0.561971880481928,0.565013763458863,0.544756865584041,0.581930123712575,0.545181851980508,0.555382116490974,0.583906138213371,0.555031624839085,0.551292337417831,0.579898336356261,0.573391133447808,0.576732763883969,0.569560852015319,0.548239824179885,-0.691141609276725,0.61461840787089,-0.838034549674039,0.838034549674039,-0.121011403128251,0.121011403128251,-0.998229640421458,1,0.8179954218002,0.574267053375477,0.167614930179426,-0.167614930179426,0.493908422331474,-0.116256474456867,0.453665703205237,0.514910360627132,0.463232543916742,0.451881515136136,0.485635899609708,0.542716243668517,0.470432043308855,-0.434172222760324,-0.489159632924046,-0.507141641639046,-0.0680972361516035,-0.14708536316039,0.0601021566967627,-0.68525350972632,0.766322016593187,-0.190102366845716
"InBezitWoningcorporatie_42",0.397757685421624,0.396908744544356,0.398519701564747,0.390223501012125,0.39661564741327,0.370159913835393,0.401222971516847,0.436972057127091,0.375108161109861,0.418686841956983,0.417878746646665,0.395156650640925,0.379400325040856,0.40903876660253,0.398933270399686,-0.467431365350608,0.501734451512754,-0.592100005612949,0.592100005612949,0.113167548152524,-0.113167548152524,-0.810851168396693,0.8179954218002,1,0.00243829941680252,0.174891747649641,-0.174891747649641,0.322052028890209,-0.117067078155981,0.325916243551844,0.35162046445537,0.297822434235119,0.292004612489463,0.305852919218695,0.354393112031377,0.297242269334749,-0.384482447425527,-0.406296324667712,-0.489302360006697,-0.0549813970023087,-0.09757701353379,0.021661309695843,-0.589415850704599,0.600465927023849,-0.12361168211688
"InBezitOverigeVerhuurders_43",0.414435034436837,0.412853501615466,0.41591488156547,0.393447642778441,0.446484743973153,0.421689055232454,0.395777604260508,0.393734355560067,0.431460639242161,0.364106800625768,0.414588124312577,0.434574562517996,0.461829715686698,0.408485037011295,0.387093569606933,-0.537839635120938,0.356150723285319,-0.61387385193644,0.61387385193644,-0.376982764818612,0.376982764818611,-0.582657519179241,0.574267053375477,0.00243829941680252,1,0.0400037935702798,-0.0400037935702798,0.401849142291187,-0.0321781132524369,0.328372499131736,0.396441739655427,0.382639721555606,0.372595074066932,0.410118500160051,0.439786633896186,0.39538999359247,-0.218191846873174,-0.276202178935822,-0.187744747347784,-0.0416145253579049,-0.120722605917961,0.0758461089134255,-0.35248679852285,0.475750619087987,-0.154488188525439
"BouwjaarVoor2000_45",-0.0372968129403899,-0.0384151260440633,-0.0361894545604606,-0.0785634296090267,-0.0532893659828875,-0.0457241767471784,-0.0339344353417268,0.0355257492735159,-0.0406468932219959,-0.0540610479220183,0.00776300712986166,-0.0156476650626942,0.00723339830629206,-0.00874605569869533,-0.065284486169304,-0.456818740574079,-0.01159205751337,-0.0954163932301538,0.0954163932301538,-0.210279093079701,0.210279093079701,-0.168348991046621,0.167614930179426,0.174891747649641,0.0400037935702798,1,-1,-0.0408289166759629,-0.0822570686611989,-0.045821095352814,-0.0390344391448529,-0.046358087628601,-0.0585837862158333,-0.0384569012814607,-0.0324426402138808,-0.0213916074451708,-0.00565412851030275,0.0219551456572981,-0.011465036211652,0.0604777331145291,0.0623698495088051,0.0332110537980386,0.0506222697994409,0.000349660116665947,0.304057931812344
"BouwjaarVanaf2000_46",0.0372968129403899,0.0384151260440632,0.0361894545604606,0.0785634296090267,0.0532893659828875,0.0457241767471783,0.0339344353417268,-0.0355257492735159,0.0406468932219959,0.0540610479220182,-0.00776300712986166,0.0156476650626942,-0.00723339830629207,0.00874605569869532,0.0652844861693039,0.456818740574079,0.01159205751337,0.0954163932301537,-0.0954163932301537,0.2102790930797,-0.2102790930797,0.168348991046621,-0.167614930179426,-0.174891747649641,-0.0400037935702798,-1,1,0.0408289166759629,0.0822570686611989,0.0458210953528139,0.0390344391448529,0.046358087628601,0.0585837862158333,0.0384569012814607,0.0324426402138808,0.0213916074451708,0.00565412851030275,-0.0219551456572981,0.011465036211652,-0.0604777331145291,-0.0623698495088051,-0.0332110537980386,-0.0506222697994409,-0.000349660116665924,-0.304057931812344
"BedrijfsvestigingenTotaal_91",0.973813737928426,0.973403371526368,0.97403789382816,0.958427363422151,0.954338717704901,0.988641971179889,0.964017404534083,0.927417987802223,0.985056930788988,0.926685218347261,0.958339765456987,0.980081784429304,0.978579360715784,0.966799770786734,0.956776869356576,-0.29165352945011,0.478670927754466,-0.551381258137865,0.551381258137865,-0.0371373223093232,0.0371373223093231,-0.49452850098218,0.493908422331474,0.322052028890209,0.401849142291187,-0.0408289166759629,0.0408289166759629,1,0.261951953814883,0.884038542938351,0.993060380837695,0.981946861434882,0.982003429841654,0.99410621861368,0.98759110367206,0.986907099882911,-0.224451775473157,-0.216171050109259,-0.292733999405431,0.105440250118903,0.128249311970683,0.0331499791688286,-0.376902525934486,0.648080621971731,-0.093656091819766
"ALandbouwBosbouwEnVisserij_92",0.289855822510231,0.293696339149856,0.286023080408604,0.318733684827797,0.263660258656187,0.244291360841982,0.318175842678762,0.321427673910928,0.258356619380287,0.348613987887434,0.276023603074897,0.259580614342761,0.21781305572529,0.279749232802258,0.313715928278188,0.13294402347598,-0.0974149464382256,0.102690405843184,-0.102690405843184,-0.0366067221265748,0.0366067221265748,0.111269343340166,-0.116256474456867,-0.117067078155981,-0.0321781132524369,-0.0822570686611989,0.0822570686611989,0.261951953814883,1,0.507326525687348,0.249820292115777,0.142347476783353,0.208693212927908,0.191342112107742,0.230571435223288,0.183627774355452,0.34659927669046,0.325634157337678,0.259411247361014,0.49642384991899,0.6162874260886,0.14023476904906,0.233256638155568,-0.081667412118226,-0.0713775830172134
"BFNijverheidEnEnergie_93",0.919966987331964,0.920744448261031,0.919032195004291,0.934763575151089,0.889554983279279,0.894720204435099,0.930383417623348,0.912978877067475,0.901377473008431,0.923900834309822,0.931565841601854,0.903322111191012,0.870848425511534,0.897926274387275,0.936406893257519,-0.226095184130126,0.48553659223953,-0.523187414841721,0.523187414841721,-0.00921701376185357,0.00921701376185359,-0.455440642823099,0.453665703205237,0.325916243551844,0.328372499131736,-0.045821095352814,0.0458210953528139,0.884038542938351,0.507326525687348,1,0.882602854110615,0.795003064081237,0.819179763004754,0.836010604060558,0.877790252166743,0.810578861074547,-0.213121269898504,-0.212185868304896,-0.297896452302511,0.135133689569162,0.156564485738581,0.0523805312008595,-0.369047204652654,0.614088108507906,-0.0914087159042504
