;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Totaal mannen en vrouwen;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Jonger dan 20 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|20 tot 65 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|65 tot 75 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|75 tot 85 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|85 jaar of ouder;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Totaal stedelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Zeer sterk stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Sterk stedelijk;Inwoners stedelijk en landelijk gebied|Matig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Totaal landelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Weinig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Niet stedelijk;Huishoudens|Eenouderhuishoudens;Woonkernen|Woonkernen: totaal;Woonkernen|Woonkernen: minimaal 500 adressen;Oppervlakten|Land|Land(Gf-Fvw): totaal;Oppervlakten|Land|Land(Gf-Fvw): buitengebied(Gf-Fvw);Oppervlakten|Land|Land(Gf-Fvw): woonkernen(Gf-Fvw);Oppervlakten|Water|Binnenwater(Gf-Fvw): totaal;Oppervlakten|Water|Buitenwater(Gf-Fvw): totaal;Oppervlakten|Bebouwing|Bebouwing: totaal;Oppervlakten|Bebouwing|Bebouwing: woonkernen(Gf-Fvw);Oppervlakten|Bebouwing|Bebouwing: buitengebied(Gf-Fvw);Oppervlakten|Bedrijfsterreinen;Vastgoed|Vastgoed, bron BAG|Woning totaal;Vastgoed|Vastgoed, bron BAG|Woning met functie: logies;Vastgoed|Vastgoed, bron BAG|Niet-woning met functie: logies;Periodieke bijstandsuitkeringen|Totaal bijstandsuitkeringen;Periodieke bijstandsuitkeringen|Algemene bijstand;Periodieke bijstandsuitkeringen|BBZ;Periodieke bijstandsuitkeringen|IOAW;Periodieke bijstandsuitkeringen|IOAZ;Periodieke bijstandsuitkeringen|Adreslozen;Minderheden;Banen van werknemers;Bedrijfsvestigingen;Inwoners in zorginstellingen;Uitwonende studenten
Veldhoven;45337;9579;26142;5328;3210;1078;28230;2190;26040;11160;5950;3880;2070;1325;5;1;3168;1670;1498;21;0;299;265;34;;19722;19;126;479;439;5;35;0;;1210;;4360;670;260
Velsen;68348;14740;39892;7569;4228;1919;46980;16060;30920;12380;8990;7920;1070;2550;6;1;4502;2139;2363;834;980;394;326;68;;30913;5;147;1307;1236;7;58;6;;3530;;6840;820;370
Venlo;101603;20410;59427;12373;6855;2538;54260;17420;36840;18650;28700;18190;10510;3497;14;3;12412;8315;4097;488;0;922;630;292;;47173;41;646;2796;2552;1;209;17;17;8930;;9155;1120;960
Venray;43326;9174;25056;5284;2952;860;11410;0;11410;11050;20860;4820;16050;1219;14;4;16316;14041;2275;184;0;564;259;305;;19004;15;14;734;689;4;38;3;;2720;;4205;820;180
Vianen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vijfheerenlanden;55712;13220;31392;6437;3444;1219;5860;0;5860;20700;29150;8210;20950;1573;18;6;14632;12184;2448;699;0;407;290;117;;23418;106;135;684;631;4;44;5;;4275;;5980;760;270
Vlaardingen;72404;15448;41550;8374;4888;2144;68020;46350;21670;3780;610;530;80;3328;1;1;2336;960;1376;333;0;244;231;13;;35159;1;7;2302;2102;8;106;2;84;11040;;5655;1040;660
Vlagtwedde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vlieland;1138;189;737;129;70;13;0;0;0;0;1140;0;1140;25;2;1;4185;3978;207;70;27325;12;11;1;;564;9;529;8;7;0;1;0;;5;;225;10;10
Vlissingen;44371;8872;25167;5860;3177;1295;30600;8380;22220;10780;2990;2360;630;1782;3;1;3436;2086;1350;517;30530;298;193;105;;22843;4;240;1636;1516;8;86;4;22;3575;;3310;570;880
Vlist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voerendaal;12452;2381;6762;1847;1120;342;0;0;0;0;12450;6190;6270;376;6;3;3150;2223;927;2;0;88;77;12;;5777;10;76;101;97;0;3;1;;195;;1180;60;70
Voorne aan Zee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voorschoten;25479;6040;13538;3114;1887;900;16770;1550;15220;7470;1240;970;270;834;1;1;1112;473;639;44;0;103;100;3;;11448;2;1;297;270;5;19;3;;1225;;2725;270;220
Voorst;24417;5389;13320;3285;1767;656;0;0;0;6140;18280;4770;13510;504;16;3;12293;10636;1656;354;0;263;135;127;;10545;4;20;243;220;3;19;1;;515;;2865;740;120
Vught;26396;6100;14822;3047;1663;764;8230;0;8230;10600;7560;5180;2390;778;3;1;3368;2260;1108;101;0;158;139;19;;11491;6;18;216;200;3;11;2;;630;;3590;770;210
Waadhoeke;46039;10373;25769;5886;3024;987;760;0;760;4630;40650;8850;31800;1321;34;11;28485;24956;3529;398;2643;465;294;171;;21112;12;27;983;879;10;82;12;;795;;4620;640;310
Waalre;17247;3936;9167;2165;1409;570;0;0;0;4040;13210;11410;1790;497;1;1;2241;1417;825;25;0;104;94;10;;7607;1;3;182;167;3;11;1;;425;;2065;70;90
Waalwijk;48240;10160;27944;5866;3252;1018;16950;0;16950;12160;19130;13870;5260;1477;3;2;6449;4255;2193;316;0;431;339;92;;21782;13;3;660;613;3;40;4;;2900;;5560;480;220
Waddinxveen;28316;6682;16047;3228;1745;614;18250;0;18250;5070;5000;3850;1150;741;3;1;2777;1686;1090;163;0;187;135;52;;11970;1;0;289;272;0;16;1;;1800;;2945;260;160
Wageningen;38774;7214;25311;3469;1922;858;25800;10890;14910;6630;6340;3700;2640;927;3;1;3042;1826;1215;194;0;157;138;18;;17483;10;8;648;608;2;37;1;;1340;;3530;640;7340
Wassenaar;26211;6356;13146;3285;2305;1119;13770;1270;12510;4820;7620;2160;5460;864;2;1;5120;3546;1574;175;945;148;132;16;;12191;5;20;339;308;11;19;1;;995;;3280;370;140
Waterland;17315;3789;9327;2411;1363;425;0;0;0;5720;11590;3620;7980;489;10;4;5197;4495;702;413;5956;95;64;31;;7289;9;6;164;159;1;2;2;;440;;2285;120;70
Weert;49842;9877;28446;6295;3943;1281;18810;2220;16590;11480;19550;11860;7690;1475;8;3;10414;8089;2325;140;0;462;327;135;;22769;15;653;834;777;3;51;3;;3755;;5055;630;290
Weesp;19334;4199;11244;2090;1270;531;14590;2830;11770;2030;2710;1930;780;624;4;1;2271;1643;629;145;0;104;95;9;;9008;3;13;361;322;1;35;3;;2100;;2610;270;200
Werkendam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wervershoof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
West Betuwe;50697;12411;28675;5855;2892;864;20;0;20;5280;45400;11090;34310;1236;25;10;21581;18124;3457;1331;0;513;306;207;;20710;18;33;422;387;3;32;0;;1145;;6585;490;180
West Maas en Waal;19076;3916;11193;2371;1196;400;0;0;0;0;19080;5770;13310;475;12;5;7635;6100;1534;886;0;214;143;71;;8100;1;91;188;162;1;22;3;;245;;2495;240;80
Westerkwartier;63031;15126;35123;7473;3982;1327;0;0;0;6700;56330;17030;39300;1670;37;11;36258;32082;4176;629;0;650;380;270;;27045;29;3;922;796;13;102;11;;895;;6600;940;450
Westerveld;19348;3655;10315;3013;1731;634;0;0;0;0;19350;0;19350;395;29;4;27841;25786;2055;433;0;227;112;114;;8515;31;1240;221;195;6;16;4;;195;;2510;470;80
Westervoort;14944;3096;8966;1845;769;268;1330;0;1330;10640;2970;2860;110;622;1;1;702;196;506;82;0;64;62;2;;6690;0;0;332;304;3;24;1;;720;;1205;140;120
Westerwolde;25199;4956;13665;3855;1969;754;0;0;0;0;25200;4760;20440;677;29;6;27575;24886;2689;489;0;323;172;151;;11969;36;418;463;414;5;40;4;;750;;2485;290;80
Westland;108603;24632;63143;11917;6610;2301;52220;9540;42680;22050;34340;25420;8920;2859;6;1;8070;2790;5280;231;773;778;665;112;;44441;1;412;1129;1045;2;75;7;;4600;;14200;1250;500
Weststellingwerf;25840;5493;14295;3310;2005;737;920;0;920;7050;17870;4370;13500;687;19;2;22014;20384;1630;831;0;308;155;153;;11620;1;126;459;420;5;30;4;;545;;2890;480;140
Westvoorne;14626;2740;8053;2117;1198;518;0;0;0;890;13740;9830;3910;383;6;2;5320;4227;1093;519;3909;108;75;33;;6831;8;258;113;103;1;9;0;;305;;1735;120;50
Wierden;24351;5897;13372;2909;1627;546;0;0;0;4690;19670;13560;6110;509;9;2;9459;8131;1328;79;0;226;134;92;;9727;45;471;193;171;4;15;3;;340;;2580;140;110
Wieringen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wieringermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wijchen;40951;9065;23395;5135;2605;751;13540;0;13540;10470;16950;9380;7570;1273;7;2;6598;4672;1926;359;0;323;248;75;;17885;63;76;705;635;3;65;2;;1220;;4260;430;250
Wijdemeren;24013;5194;13107;3243;1817;652;10;0;10;3190;20820;11090;9720;688;15;4;4754;3040;1715;2882;0;157;138;19;;10707;2;1141;207;177;3;24;3;;585;;3910;200;70
Wijk bij Duurstede;23762;5473;13700;3004;1237;348;5420;0;5420;10170;8170;2190;5980;679;5;3;4764;4015;749;277;0;137;98;39;;9968;3;58;252;220;6;23;3;;705;;2725;180;100
Winschoten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Winsum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Winterswijk;28903;6119;16145;3740;2089;810;9750;0;9750;8940;10210;4100;6110;811;9;1;13812;12543;1269;70;0;293;167;126;;13087;19;509;563;521;4;37;1;;1005;;3025;530;130
Woensdrecht;21866;4314;12277;3040;1754;481;0;0;0;4680;17190;12110;5080;631;6;4;9139;7626;1513;58;0;219;157;62;;9844;97;590;255;237;1;16;1;;410;;2005;270;60
Woerden;52197;12950;29555;5694;2982;1016;19010;1790;17220;12460;20720;12890;7830;1471;9;4;8898;7073;1825;394;0;325;261;65;;22002;2;7;514;465;6;43;0;;2825;;6535;660;360
De Wolden;24110;5269;13163;3144;1828;706;0;0;0;0;24110;4140;19970;552;22;5;22440;20660;1779;195;0;289;128;161;;10265;27;631;216;188;2;23;3;;235;;3120;350;100
Wormerland;16329;3456;9134;2030;1324;385;9550;0;9550;1880;4900;1050;3850;569;7;2;3837;3220;617;680;0;94;68;26;;6962;2;119;200;182;1;16;1;;700;;1680;110;70
Woudenberg;13166;3534;7172;1365;801;294;0;0;0;6000;7160;5700;1470;299;1;1;3652;3179;472;31;0;100;62;38;;5102;5;16;96;85;1;10;0;;315;;1425;300;80
Woudrichem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wûnseradiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wymbritseradiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zaanstad;155885;35115;92526;16241;9020;2983;110960;38350;72610;22930;21990;14140;7850;6964;7;3;7362;3620;3742;961;0;700;640;59;;68402;24;18;3541;3276;37;183;15;30;25335;;15775;1410;1160
Zaltbommel;28451;7259;16086;2986;1600;520;2540;0;2540;5980;19930;3730;16200;799;11;7;7849;6102;1747;1055;0;254;175;79;;11401;22;12;277;253;4;17;3;;1150;;3625;240;130
Zandvoort;17011;3110;9487;2552;1331;531;12450;3850;8600;1360;3200;1710;1490;735;2;2;3212;2679;534;162;1023;73;69;4;;9557;670;180;358;335;5;16;2;;680;;2310;350;100
Zederik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeevang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zeewolde;22309;5634;13821;1705;885;264;0;0;0;10980;11330;8590;2750;643;6;3;24710;23553;1157;2176;0;239;112;127;;8553;1;1352;277;248;6;22;1;;590;;2990;80;120
Zeist;63934;15310;35293;7149;4200;1982;37130;9190;27940;11900;14910;8540;6370;2079;4;3;4851;2261;2591;14;0;300;275;25;;28777;1;42;1131;1043;13;73;2;;6215;;8165;1930;1510
Zevenaar;43488;8848;24217;6211;3217;995;12850;1430;11420;6520;24120;7290;16830;1409;13;6;9246;7037;2209;1365;0;327;237;90;;19796;19;110;842;761;8;69;4;;1200;;4000;410;220
Zevenhuizen-Moerkapelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zijpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zoetermeer;124944;28521;73251;14624;6323;2225;110980;52070;58910;10470;3490;3320;180;5869;1;1;3449;1040;2410;256;0;446;426;20;;56199;0;3;2739;2558;6;170;5;;16385;;11090;620;1110
Zoeterwoude;8450;1844;4872;1011;542;181;1060;0;1060;1110;6280;4840;1440;231;4;2;2119;1587;532;76;0;87;74;13;;3493;2;10;47;43;0;3;1;;300;;1045;380;70
Zuidhorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zuidplas;42762;10434;24516;4600;2412;800;13480;0;13480;12240;17050;13220;3830;1288;12;4;5809;3680;2130;596;0;260;217;43;;17563;3;466;469;433;1;33;2;;2320;;5080;480;210
Zundert;21612;4077;12804;2713;1431;587;0;0;0;2710;18900;9480;9420;486;6;2;12059;11065;994;61;0;246;108;138;;9455;426;0;189;173;0;12;4;;465;;2570;410;80
Zutphen;47609;10526;26840;6238;2862;1143;21640;5910;15730;16340;9630;6760;2880;1853;1;1;4092;2485;1607;202;0;269;225;44;;22095;16;214;1395;1266;21;95;13;;2785;;4880;690;410
Zwartewaterland;22503;6292;12395;2333;1098;385;0;0;0;2340;20160;16370;3790;416;4;3;8237;7253;983;549;0;228;156;71;;8903;14;3;208;183;2;20;3;;285;;2250;230;90
Zwijndrecht;44639;9819;24787;5365;3350;1318;35020;16190;18830;3870;5750;5060;690;1869;3;2;2028;874;1154;249;0;231;189;41;;20454;0;1;1038;976;1;56;5;;4465;;4140;390;260
Zwolle;127497;30428;77224;11397;6094;2354;88410;31920;56490;19460;19630;14190;5440;4108;3;1;11064;7318;3746;872;0;676;562;114;;57730;4;23;3458;3095;27;205;12;119;7300;;13205;1830;3970
Buitenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niet-gemeentelijk ingedeeld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gemeenten; niet in te delen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
