;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Totaal mannen en vrouwen;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Jonger dan 20 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|20 tot 65 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|65 tot 75 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|75 tot 85 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|85 jaar of ouder;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Totaal stedelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Zeer sterk stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Sterk stedelijk;Inwoners stedelijk en landelijk gebied|Matig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Totaal landelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Weinig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Niet stedelijk;Huishoudens|Eenouderhuishoudens;Woonkernen|Woonkernen: totaal;Woonkernen|Woonkernen: minimaal 500 adressen;Oppervlakten|Land|Land(Gf-Fvw): totaal;Oppervlakten|Land|Land(Gf-Fvw): buitengebied(Gf-Fvw);Oppervlakten|Land|Land(Gf-Fvw): woonkernen(Gf-Fvw);Oppervlakten|Water|Binnenwater(Gf-Fvw): totaal;Oppervlakten|Water|Buitenwater(Gf-Fvw): totaal;Oppervlakten|Bebouwing|Bebouwing: totaal;Oppervlakten|Bebouwing|Bebouwing: woonkernen(Gf-Fvw);Oppervlakten|Bebouwing|Bebouwing: buitengebied(Gf-Fvw);Oppervlakten|Bedrijfsterreinen;Vastgoed|Vastgoed, bron BAG|Woning totaal;Vastgoed|Vastgoed, bron BAG|Woning met functie: logies;Vastgoed|Vastgoed, bron BAG|Niet-woning met functie: logies;Periodieke bijstandsuitkeringen|Totaal bijstandsuitkeringen;Periodieke bijstandsuitkeringen|Algemene bijstand;Periodieke bijstandsuitkeringen|BBZ;Periodieke bijstandsuitkeringen|IOAW;Periodieke bijstandsuitkeringen|IOAZ;Periodieke bijstandsuitkeringen|Adreslozen;Minderheden;Banen van werknemers;Bedrijfsvestigingen;Inwoners in zorginstellingen;Uitwonende studenten
Bunschoten;21576;5647;12408;2124;1089;308;6980;0;6980;6390;8210;6970;1240;432;2;1;3040;2294;746;442;0;143;122;22;;8414;6;14;158;146;4;6;2;;690;;2410;250;100
Buren;26568;5916;15358;3367;1485;442;0;0;0;0;26570;4260;22310;666;22;8;13382;11405;1977;910;0;271;154;117;;10604;19;385;206;182;0;21;3;;390;;3705;140;70
Bussum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capelle aan den IJssel;66818;14754;38672;7995;3814;1583;60790;20570;40220;6020;0;0;0;3439;1;1;1423;40;1383;117;0;228;225;3;;30853;2;1;1793;1664;5;115;9;;10065;;6680;610;730
Castricum;35772;7536;19444;4789;2925;1078;14630;0;14630;5170;15970;13590;2390;928;7;3;4956;3551;1404;566;519;188;168;20;;15973;32;143;303;275;7;20;1;;695;;4040;490;230
Coevorden;35483;7515;19527;4793;2647;1001;700;0;700;5820;28960;6590;22380;1000;27;8;29614;26603;3011;355;0;414;237;177;;15521;19;1749;708;655;11;39;3;;700;;3575;450;160
Cranendonck;20440;4086;11492;2845;1551;466;0;0;0;2400;18040;10000;8050;533;10;4;7652;6140;1512;153;0;228;161;68;;8962;2;38;240;214;2;20;4;;480;;2345;240;90
Cromstrijen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuijk;24931;5307;14349;3097;1688;490;2020;0;2020;8290;14630;6940;7690;759;6;3;5119;3852;1267;588;0;220;149;71;;11094;7;25;374;348;5;21;0;;1820;;2230;250;160
Culemborg;28555;6733;16676;3070;1531;545;13190;0;13190;11790;3580;2800;780;937;1;1;2931;2060;871;183;0;183;160;23;;12390;7;198;489;448;2;34;5;;3235;;3200;330;230
Dalfsen;28499;6895;15717;3251;1988;648;0;0;0;3810;24690;11040;13650;517;9;3;16500;14918;1583;151;0;337;163;174;;11722;3;318;256;226;5;23;2;;325;;3120;220;130
Dantumadeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dantumadiel;18923;4366;10430;2384;1319;424;0;0;0;0;18920;7980;10950;417;9;3;8456;7215;1240;297;0;160;113;47;;8147;2;13;434;378;2;47;7;;205;;1625;380;100
Delft;103163;18631;68324;9576;4656;1976;96750;74320;22430;6160;260;10;250;3517;1;1;2269;559;1710;137;0;351;337;14;;50610;3;22;2928;2674;13;142;6;93;9515;;10035;910;15340
Delfzijl;24716;4872;13659;3363;2117;705;390;0;390;6730;17600;7410;10190;951;11;3;13304;11587;1716;542;8904;269;152;116;;12182;6;24;870;814;3;50;3;;1800;;1845;330;110
Deurne;32362;6970;18561;3892;2242;697;6510;0;6510;7370;18480;6100;12380;818;6;3;11681;9939;1742;155;0;403;218;184;;13887;7;114;339;302;1;32;4;;705;;3715;580;150
Deventer;99957;22616;59460;10125;5477;2279;48920;24550;24370;26230;24810;15550;9260;3517;8;2;13049;9843;3205;385;0;583;460;123;;45313;7;17;2675;2478;19;131;6;41;9260;;9775;1390;1890
Diemen;29196;6071;18540;2608;1408;569;23710;15570;8150;4930;550;460;90;1244;1;1;1186;589;597;107;110;96;93;4;;13803;0;30;393;356;5;29;3;;5220;;3270;270;2420
Dijk en Waard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dinkelland;26350;5967;14673;3098;1889;723;0;0;0;2050;24300;10020;14290;502;11;5;17571;15930;1642;111;0;323;157;165;;10900;137;106;183;153;4;25;1;;290;;3065;410;100
Dirksland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doesburg;11148;2125;6223;1724;833;243;0;0;0;2340;8810;7990;820;423;1;1;1158;758;400;138;0;62;51;11;;5286;1;0;266;244;2;18;2;;950;;1015;90;60
Doetinchem;57555;12607;33016;6888;3700;1344;13270;0;13270;18350;25940;17500;8440;1758;7;3;7899;5190;2709;66;0;434;357;77;;25926;4;46;1163;1077;6;67;5;8;2635;;5995;1170;390
Dongen;26051;5575;15010;3172;1698;596;7490;0;7490;9880;8680;4600;4080;735;3;2;2925;1826;1099;49;0;199;148;51;;11241;6;11;289;267;1;20;1;;1275;;2620;400;130
Dongeradeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dordrecht;118654;25738;70434;12854;6850;2778;101580;49690;51900;12610;4460;3330;1130;4711;3;2;7707;5007;2700;2239;0;530;459;70;;55008;1;33;3641;3368;5;172;10;86;16275;;11605;2010;1160
Drechterland;19597;4513;10926;2580;1215;363;0;0;0;30;19570;9070;10500;497;11;3;5887;4347;1539;67;2105;172;113;59;;8280;24;134;156;149;1;6;0;;375;;2320;180;70
Drimmelen;27150;5471;15653;3641;1812;573;1220;0;1220;6220;19710;10710;9000;637;7;5;9472;8119;1353;2471;0;208;153;54;;11779;0;28;160;143;1;14;2;;365;;3045;490;90
Dronten;40815;9848;23701;4200;2235;831;2510;0;2510;8400;29910;21740;8170;1163;12;3;33362;31011;2351;5766;3261;397;240;157;;17140;169;1009;585;536;14;26;9;;1990;;4505;260;770
Druten;18797;4204;11022;2131;1103;337;0;0;0;8060;10740;5010;5720;567;5;4;3757;2832;924;489;0;146;109;36;;8047;6;7;250;230;2;17;1;;890;;1990;470;90
Duiven;25332;5662;15018;2757;1415;480;5320;0;5320;10840;9170;6010;3160;780;6;1;3392;2224;1168;127;0;186;135;52;;10708;0;2;427;379;1;45;2;;795;;2420;150;160
Echt-Susteren;31638;5527;18140;4626;2480;865;1140;0;1140;7210;23290;10250;13050;924;12;5;10303;8148;2155;159;0;302;227;76;;14540;11;580;437;400;2;26;9;;605;;3285;690;110
