ID;WijkenEnBuurten;Gemeentenaam_1;PercentageEengezinswoning_36;PercentageMeergezinswoning_37;BouwjaarVoor2000_45;BouwjaarVanaf2000_46;AfstandTotHuisartsenpraktijk_105;AfstandTotGroteSupermarkt_106;AfstandTotKinderdagverblijf_107;AfstandTotSchool_108;MateVanStedelijkheid_115;Omgevingsadressendichtheid_116
11107;GM1773;Olst-Wijhe                              ;85;15;84;16;1.6;1.9;1.6;1.0;5;466
11143;GM0175;Ommen                                   ;82;18;82;18;2.3;1.8;1.6;1.1;5;497
11201;GM1586;Oost Gelre                              ;84;16;87;13;1.5;1.4;0.7;0.8;4;742
11250;GM0826;Oosterhout                              ;74;26;85;15;1.0;0.8;0.6;0.6;2;1545
11309;GM0085;Ooststellingwerf                        ;90;10;91;9;1.4;1.6;1.1;1.0;5;482
11382;GM0431;Oostzaan                                ;83;17;84;16;1.0;0.8;0.6;0.6;3;1062
11388;GM0432;Opmeer                                  ;86;14;83;17;1.2;1.1;0.8;0.8;4;511
11403;GM0086;Opsterland                              ;87;13;84;16;1.4;1.7;1.0;0.9;5;403
11469;GM0828;Oss                                     ;78;22;85;15;1.1;1.0;0.7;0.7;3;1383
11599;GM1509;Oude IJsselstreek                       ;85;15;90;10;1.3;1.3;1.0;0.8;4;644
11636;GM0437;Ouder-Amstel                            ;61;39;88;12;1.0;0.7;0.7;0.7;3;1281
11645;GM0589;Oudewater                               ;81;19;84;16;1.2;1.1;1.1;0.9;4;856
11668;GM1734;Overbetuwe                              ;87;13;75;25;1.0;0.9;0.7;0.7;4;797
11706;GM0590;Papendrecht                             ;66;34;86;14;0.9;0.8;0.5;0.6;2;1919
11716;GM1894;Peel en Maas                            ;86;14;84;16;1.5;1.2;0.8;0.8;4;580
11755;GM0765;Pekela                                  ;88;12;91;9;1.2;1.2;0.8;0.8;4;531
11763;GM1926;Pijnacker-Nootdorp                      ;75;25;57;43;0.8;1.0;0.7;0.7;3;1498
11796;GM0439;Purmerend                               ;67;33;81;19;0.8;0.9;0.5;0.6;2;2211
11831;GM0273;Putten                                  ;84;16;77;23;1.6;1.3;1.0;0.8;4;901
